Year,Month,Day,Min in Observatory (°F),Min in Observatory (°C),Min in Clock Square (°F),Min in Clock Square (°C),Max in Observatory (°F),Max in Observatory (°C)
1854,3,8,NA,NA,NA,NA,NA,NA
1854,3,9,NA,NA,NA,NA,NA,NA
1854,3,10,NA,NA,NA,NA,NA,NA
1854,3,11,NA,NA,NA,NA,NA,NA
1854,3,12,NA,NA,NA,NA,NA,NA
1854,3,13,NA,NA,NA,NA,NA,NA
1854,3,14,NA,NA,NA,NA,NA,NA
1854,3,15,NA,NA,NA,NA,NA,NA
1854,3,16,NA,NA,NA,NA,NA,NA
1854,3,17,NA,NA,NA,NA,NA,NA
1854,3,18,NA,NA,NA,NA,NA,NA
1854,3,19,NA,NA,NA,NA,NA,NA
1854,3,20,NA,NA,NA,NA,NA,NA
1854,3,21,NA,NA,NA,NA,NA,NA
1854,3,22,NA,NA,NA,NA,NA,NA
1854,3,23,NA,NA,NA,NA,NA,NA
1854,3,24,NA,NA,NA,NA,NA,NA
1854,3,25,NA,NA,NA,NA,NA,NA
1854,3,26,NA,NA,NA,NA,NA,NA
1854,3,27,NA,NA,NA,NA,NA,NA
1854,3,28,NA,NA,NA,NA,NA,NA
1854,3,29,NA,NA,NA,NA,NA,NA
1854,3,30,NA,NA,NA,NA,NA,NA
1854,3,31,NA,NA,NA,NA,NA,NA
1854,4,1,NA,NA,NA,NA,NA,NA
1854,4,2,NA,NA,NA,NA,NA,NA
1854,4,3,NA,NA,NA,NA,NA,NA
1854,4,4,NA,NA,NA,NA,NA,NA
1854,4,5,NA,NA,NA,NA,NA,NA
1854,4,6,NA,NA,NA,NA,NA,NA
1854,4,7,NA,NA,NA,NA,NA,NA
1854,4,8,NA,NA,NA,NA,NA,NA
1854,4,9,NA,NA,NA,NA,NA,NA
1854,4,10,NA,NA,NA,NA,NA,NA
1854,4,11,NA,NA,NA,NA,NA,NA
1854,4,12,NA,NA,NA,NA,NA,NA
1854,4,13,NA,NA,NA,NA,NA,NA
1854,4,14,NA,NA,NA,NA,NA,NA
1854,4,15,NA,NA,NA,NA,NA,NA
1854,4,16,NA,NA,NA,NA,NA,NA
1854,4,17,NA,NA,NA,NA,NA,NA
1854,4,18,NA,NA,NA,NA,NA,NA
1854,4,19,NA,NA,NA,NA,NA,NA
1854,4,20,NA,NA,NA,NA,NA,NA
1854,4,21,NA,NA,NA,NA,NA,NA
1854,4,22,NA,NA,NA,NA,NA,NA
1854,4,23,NA,NA,NA,NA,NA,NA
1854,4,24,NA,NA,NA,NA,NA,NA
1854,4,25,NA,NA,NA,NA,NA,NA
1854,4,26,NA,NA,NA,NA,NA,NA
1854,4,27,NA,NA,NA,NA,NA,NA
1854,4,28,NA,NA,NA,NA,NA,NA
1854,4,29,NA,NA,NA,NA,NA,NA
1854,4,30,NA,NA,NA,NA,NA,NA
1854,5,1,NA,NA,NA,NA,NA,NA
1854,5,2,NA,NA,NA,NA,NA,NA
1854,5,3,NA,NA,NA,NA,NA,NA
1854,5,4,NA,NA,NA,NA,NA,NA
1854,5,5,NA,NA,NA,NA,NA,NA
1854,5,6,NA,NA,NA,NA,NA,NA
1854,5,7,NA,NA,NA,NA,NA,NA
1854,5,8,NA,NA,NA,NA,NA,NA
1854,5,9,NA,NA,NA,NA,NA,NA
1854,5,10,NA,NA,NA,NA,NA,NA
1854,5,11,NA,NA,NA,NA,NA,NA
1854,5,12,NA,NA,NA,NA,NA,NA
1854,5,13,NA,NA,NA,NA,NA,NA
1854,5,14,NA,NA,NA,NA,NA,NA
1854,5,15,NA,NA,NA,NA,NA,NA
1854,5,16,NA,NA,NA,NA,NA,NA
1854,5,17,NA,NA,NA,NA,NA,NA
1854,5,18,NA,NA,NA,NA,NA,NA
1854,5,19,NA,NA,NA,NA,NA,NA
1854,5,20,NA,NA,NA,NA,NA,NA
1854,5,21,NA,NA,NA,NA,NA,NA
1854,5,22,NA,NA,NA,NA,NA,NA
1854,5,23,NA,NA,NA,NA,NA,NA
1854,5,24,NA,NA,NA,NA,NA,NA
1854,5,25,NA,NA,NA,NA,NA,NA
1854,5,26,NA,NA,NA,NA,NA,NA
1854,5,27,NA,NA,NA,NA,NA,NA
1854,5,28,NA,NA,NA,NA,NA,NA
1854,5,29,NA,NA,NA,NA,NA,NA
1854,5,30,NA,NA,NA,NA,NA,NA
1854,5,31,NA,NA,NA,NA,NA,NA
1854,6,1,NA,NA,NA,NA,NA,NA
1854,6,2,NA,NA,NA,NA,NA,NA
1854,6,3,NA,NA,NA,NA,NA,NA
1854,6,4,NA,NA,NA,NA,NA,NA
1854,6,5,NA,NA,NA,NA,NA,NA
1854,6,6,NA,NA,NA,NA,NA,NA
1854,6,7,NA,NA,NA,NA,NA,NA
1854,6,8,NA,NA,NA,NA,NA,NA
1854,6,9,NA,NA,NA,NA,NA,NA
1854,6,10,NA,NA,NA,NA,NA,NA
1854,6,11,NA,NA,NA,NA,NA,NA
1854,6,12,NA,NA,NA,NA,NA,NA
1854,6,13,NA,NA,NA,NA,NA,NA
1854,6,14,NA,NA,NA,NA,NA,NA
1854,6,15,NA,NA,NA,NA,NA,NA
1854,6,16,NA,NA,NA,NA,NA,NA
1854,6,17,NA,NA,NA,NA,NA,NA
1854,6,18,NA,NA,NA,NA,NA,NA
1854,6,19,NA,NA,NA,NA,NA,NA
1854,6,20,NA,NA,NA,NA,NA,NA
1854,6,21,NA,NA,NA,NA,NA,NA
1854,6,22,NA,NA,NA,NA,NA,NA
1854,6,23,NA,NA,NA,NA,NA,NA
1854,6,24,NA,NA,NA,NA,NA,NA
1854,6,25,NA,NA,NA,NA,NA,NA
1854,6,26,NA,NA,NA,NA,NA,NA
1854,6,27,NA,NA,NA,NA,NA,NA
1854,6,28,NA,NA,NA,NA,NA,NA
1854,6,29,NA,NA,NA,NA,NA,NA
1854,6,30,NA,NA,NA,NA,NA,NA
1854,7,1,NA,NA,NA,NA,NA,NA
1854,7,2,NA,NA,NA,NA,NA,NA
1854,7,3,NA,NA,NA,NA,NA,NA
1854,7,4,NA,NA,NA,NA,NA,NA
1854,7,5,NA,NA,NA,NA,NA,NA
1854,7,6,NA,NA,NA,NA,NA,NA
1854,7,7,NA,NA,NA,NA,NA,NA
1854,7,8,NA,NA,NA,NA,NA,NA
1854,7,9,NA,NA,NA,NA,NA,NA
1854,7,10,NA,NA,NA,NA,NA,NA
1854,7,11,NA,NA,NA,NA,NA,NA
1854,7,12,NA,NA,NA,NA,NA,NA
1854,7,13,NA,NA,NA,NA,NA,NA
1854,7,14,NA,NA,NA,NA,NA,NA
1854,7,15,NA,NA,NA,NA,NA,NA
1854,7,16,NA,NA,NA,NA,NA,NA
1854,7,17,NA,NA,NA,NA,NA,NA
1854,7,18,NA,NA,NA,NA,NA,NA
1854,7,19,NA,NA,NA,NA,NA,NA
1854,7,20,NA,NA,NA,NA,NA,NA
1854,7,21,NA,NA,NA,NA,NA,NA
1854,7,22,NA,NA,NA,NA,NA,NA
1854,7,23,NA,NA,NA,NA,NA,NA
1854,7,24,NA,NA,NA,NA,NA,NA
1854,7,25,NA,NA,NA,NA,NA,NA
1854,7,26,NA,NA,NA,NA,NA,NA
1854,7,27,NA,NA,NA,NA,NA,NA
1854,7,28,NA,NA,NA,NA,NA,NA
1854,7,29,NA,NA,NA,NA,NA,NA
1854,7,30,NA,NA,NA,NA,NA,NA
1854,7,31,NA,NA,NA,NA,NA,NA
1854,8,1,NA,NA,NA,NA,NA,NA
1854,8,2,NA,NA,NA,NA,NA,NA
1854,8,3,NA,NA,NA,NA,NA,NA
1854,8,4,NA,NA,NA,NA,NA,NA
1854,8,5,NA,NA,NA,NA,NA,NA
1854,8,6,NA,NA,NA,NA,NA,NA
1854,8,7,NA,NA,NA,NA,NA,NA
1854,8,8,NA,NA,NA,NA,NA,NA
1854,8,9,NA,NA,NA,NA,NA,NA
1854,8,10,NA,NA,NA,NA,NA,NA
1854,8,11,NA,NA,NA,NA,NA,NA
1854,8,12,NA,NA,NA,NA,NA,NA
1854,8,13,NA,NA,NA,NA,NA,NA
1854,8,14,NA,NA,NA,NA,NA,NA
1854,8,15,NA,NA,NA,NA,NA,NA
1854,8,16,NA,NA,NA,NA,NA,NA
1854,8,17,NA,NA,NA,NA,NA,NA
1854,8,18,NA,NA,NA,NA,NA,NA
1854,8,19,NA,NA,NA,NA,NA,NA
1854,8,20,NA,NA,NA,NA,NA,NA
1854,8,21,NA,NA,NA,NA,NA,NA
1854,8,22,NA,NA,NA,NA,NA,NA
1854,8,23,NA,NA,NA,NA,NA,NA
1854,8,24,NA,NA,NA,NA,NA,NA
1854,8,25,NA,NA,NA,NA,NA,NA
1854,8,26,NA,NA,NA,NA,NA,NA
1854,8,27,NA,NA,NA,NA,NA,NA
1854,8,28,NA,NA,NA,NA,NA,NA
1854,8,29,NA,NA,NA,NA,NA,NA
1854,8,30,NA,NA,NA,NA,NA,NA
1854,8,31,NA,NA,NA,NA,NA,NA
1854,9,1,NA,NA,NA,NA,NA,NA
1854,9,2,NA,NA,NA,NA,NA,NA
1854,9,3,NA,NA,NA,NA,NA,NA
1854,9,4,NA,NA,NA,NA,NA,NA
1854,9,5,NA,NA,NA,NA,NA,NA
1854,9,6,NA,NA,NA,NA,NA,NA
1854,9,7,NA,NA,NA,NA,NA,NA
1854,9,8,NA,NA,NA,NA,NA,NA
1854,9,9,NA,NA,NA,NA,NA,NA
1854,9,10,NA,NA,NA,NA,NA,NA
1854,9,11,NA,NA,NA,NA,NA,NA
1854,9,12,NA,NA,NA,NA,NA,NA
1854,9,13,NA,NA,NA,NA,NA,NA
1854,9,14,NA,NA,NA,NA,NA,NA
1854,9,15,NA,NA,NA,NA,NA,NA
1854,9,16,NA,NA,NA,NA,NA,NA
1854,9,17,NA,NA,NA,NA,NA,NA
1854,9,18,NA,NA,NA,NA,NA,NA
1854,9,19,NA,NA,NA,NA,NA,NA
1854,9,20,NA,NA,NA,NA,NA,NA
1854,9,21,NA,NA,NA,NA,NA,NA
1854,9,22,NA,NA,NA,NA,NA,NA
1854,9,23,NA,NA,NA,NA,NA,NA
1854,9,24,NA,NA,NA,NA,NA,NA
1854,9,25,NA,NA,NA,NA,NA,NA
1854,9,26,NA,NA,NA,NA,NA,NA
1854,9,27,NA,NA,NA,NA,NA,NA
1854,9,28,NA,NA,NA,NA,NA,NA
1854,9,29,NA,NA,NA,NA,NA,NA
1854,9,30,NA,NA,NA,NA,NA,NA
1854,10,1,NA,NA,NA,NA,NA,NA
1854,10,2,NA,NA,NA,NA,NA,NA
1854,10,3,NA,NA,NA,NA,NA,NA
1854,10,4,NA,NA,NA,NA,NA,NA
1854,10,5,NA,NA,NA,NA,NA,NA
1854,10,6,NA,NA,NA,NA,NA,NA
1854,10,7,NA,NA,NA,NA,NA,NA
1854,10,8,NA,NA,NA,NA,NA,NA
1854,10,9,NA,NA,NA,NA,NA,NA
