year reset,irrain mean,irtemp mean,co2 ppmv pre2001,co2 ppmv luthi,co2 ppmv post2001,co2 mean,temp c ffill,temp c mean ffill,anom c,modern temp c,modern anom c,anom modern anom,ch4 ppbv pre1937,ch4 ppbv 1938,ch4 ppbv 1997,ch4 mean
31884.98999999999,,,235.49,,,235.49,,,,,,,,,,
31999.0,,,,,,,-57.44999999999999,-57.54999999999998,,,,,,,,
32199.0,,,,,,,-56.849999999999966,-57.54999999999998,,,,,,,,
32203.0,,,,,,,-56.849999999999966,-57.54999999999998,-3.09,,,-3.09,,,,
32343.959999999963,,,238.64,,,238.64,,,,,,,,,,
32457.0,,,,226.3,,226.3,,,,,,,,,,
32576.0,,,,,,,,,,,,,543.0,,,543.0
32725.0,,,,,,,-56.14999999999998,-57.54999999999998,,,,,,,,
32819.0,,,,,,,-56.14999999999998,-57.54999999999998,-2.59,,,-2.59,,,,
32951.0,,,,229.5,,229.5,,,,,,,,,,
32999.0,,,,,,,-56.14999999999998,-56.49999999999997,,,,,,,,
33023.0,,,,,,,,,,,,,562.0,,,562.0
33146.130000000005,,,257.02,,,257.02,,,,,,,,,,
33252.0,,,,,,,-55.74999999999997,-56.49999999999997,,,,,,,,
33358.76000000001,,,257.2,,,257.2,,,,,,,,,,
33396.0,,,,,,,-55.74999999999997,-56.49999999999997,-2.37,,,-2.37,,,,
33715.0,,,,,,,,,,,,,589.0,,,589.0
33778.0,,,,,,,-56.24999999999997,-56.49999999999997,,,,,,,,
33805.0,,,,247.9,,247.9,,,,,,,,,,
33953.0,,,,,,,-56.24999999999997,-56.49999999999997,-1.75,,,-1.75,,,,
33999.0,,,,,,,-56.24999999999997,-55.99999999999997,,,,,,,,
34033.0,,,,248.1,,248.1,,,,,,,,,,
34034.43000000005,,,266.0,,,266.0,,,,,,,,,,
34165.0,,,,,,,,,,,,,659.0,,,659.0
34332.0,,,,,,,-56.349999999999966,-55.99999999999997,,,,,,,,
34482.48999999999,,,269.36,,,269.36,,,,,,,,,,
34540.0,,,,,,,-56.349999999999966,-55.99999999999997,-0.54,,,-0.54,,,,
34762.0,,,,256.9,,256.9,,,,,,,,,,
34886.0,,,,,,,-56.44999999999999,-55.99999999999997,,,,,,,,
34900.0,,,,,,,,,,,,,713.0,,,713.0
34999.0,,,,,,,-56.44999999999999,-56.39999999999998,,,,,,,,
35132.0,,,,,,,-56.44999999999999,-56.39999999999998,-0.63,,,-0.63,,,,
35189.0,,,,,,,,,,,,,699.0,,,699.0
35251.0,,,,260.3,,260.3,,,,,,,,,,
35274.73999999999,,,264.35,,,264.35,,,,,,,,,,
35298.0,,,,,,,,,,,,,739.0,,,739.0
35348.0,,,,,,,,,,,,,723.0,,,723.0
35440.0,,,,,,,-57.04999999999998,-56.39999999999998,,,,,,,,
35648.40000000002,,,262.23,,,262.23,,,,,,,,,,
35733.0,,,,,,,-57.04999999999998,-56.39999999999998,-1.04,,,-1.04,,,,
35878.0,,,,,,,,,,,,,677.0,,,677.0
35999.0,,,,,,,-57.04999999999998,-57.04999999999998,,,,,,,,
36028.0,,,,,,,-57.14999999999998,-57.04999999999998,,,,,,,,
36049.0,,,,255.4,,255.4,,,,,,,,,,
36318.94999999995,,,259.66,,,259.66,,,,,,,,,,
36368.0,,,,,,,-57.14999999999998,-57.04999999999998,-1.05,,,-1.05,,,,
36425.0,,,,253.3,,253.3,,,,,,,,,,
36452.0,,,,,,,,,,,,,686.0,,,686.0
36616.0,,,,,,,-57.44999999999999,-57.04999999999998,,,,,,,,
36803.92000000004,,,255.85,,,255.85,,,,,,,,,,
36999.0,,,,,,,-57.44999999999999,-57.29999999999998,,,,,,,,
37008.0,,,,,,,-57.44999999999999,-57.29999999999998,-1.15,,,-1.15,,,,
37146.0,,,,250.7,,250.7,,,,,,,,,,
37198.0,,,,,,,,,,,,,639.0,,,639.0
37204.0,,,,,,,-57.24999999999997,-57.29999999999998,,,,,,,,
37576.23999999999,,,260.92,,,260.92,,,,,,,,,,
37665.0,,,,,,,-57.24999999999997,-57.29999999999998,-1.71,,,-1.71,,,,
37691.0,,,,246.9,,246.9,,,,,,,,,,
37730.0,,,,,,,,,,,,,653.0,,,653.0
37812.0,,,,,,,-57.64999999999998,-57.29999999999998,,,,,,,,
37999.0,,,,,,,-57.64999999999998,-57.449999999999974,,,,,,,,
38310.0,,,,,,,-57.64999999999998,-57.449999999999974,-1.7,,,-1.7,,,,
38410.0,,,,,,,,,,,,,618.0,,,618.0
38421.0,,,,,,,-57.849999999999966,-57.449999999999974,,,,,,,,
38575.0,,,,252.1,,252.1,,,,,,,,,,
38639.46999999997,,,255.02,,,255.02,,,,,,,,,,
38982.0,,,,,,,-57.849999999999966,-57.449999999999974,-2.04,,,-2.04,,,,
38987.0,,,,,,,,,,,,,639.0,,,639.0
38999.0,,,,,,,-57.849999999999966,-57.849999999999966,,,,,,,,
39029.0,,,,,,,-57.64999999999998,-57.849999999999966,,,,,,,,
39109.55000000005,,,257.44,,,257.44,,,,,,,,,,
39628.0,,,,,,,-57.54999999999998,-57.849999999999966,,,,,,,,
39658.0,,,,,,,-57.54999999999998,-57.849999999999966,-1.84,,,-1.84,,,,
39779.0,,,,246.2,,246.2,,,,,,,,,,
39881.0,,,,,,,,,,,,,623.0,,,623.0
39951.31999999995,,,251.51,,,251.51,,,,,,,,,,
39999.0,,,,,,,-57.54999999999998,-57.59999999999998,,,,,,,,
40205.0,,,,,,,,,,,,,633.0,,,633.0
40226.0,,,,,,,-57.64999999999998,-57.59999999999998,,,,,,,,
40275.17000000004,,,257.21,,,257.21,,,,,,,,,,
40303.0,,,,248.7,,248.7,,,,,,,,,,
40319.0,,,,,,,-57.64999999999998,-57.59999999999998,-2.28,,,-2.28,,,,
40825.0,,,,,,,-57.74999999999997,-57.59999999999998,,,,,,,,
40975.0,,,,,,,-57.74999999999997,-57.59999999999998,-2.37,,,-2.37,,,,
40999.0,,,,,,,-57.74999999999997,-57.699999999999974,,,,,,,,
41093.0,,,,,,,,,,,,,630.0,,,630.0
41118.560000000056,,,252.52,,,252.52,,,,,,,,,,
41226.0,,,,242.8,,242.8,,,,,,,,,,
41441.0,,,,,,,-58.14999999999998,-57.699999999999974,,,,,,,,
41570.0,,,,248.5,,248.5,,,,,,,,,,
41629.0,,,,,,,-58.14999999999998,-57.699999999999974,-2.17,,,-2.17,,,,
41649.07999999996,,,254.43,,,254.43,,,,,,,,,,
41743.0,,,,,,,,,,,,,616.0,,,616.0
41999.0,,,,,,,-58.14999999999998,-58.14999999999998,,,,,,,,
42056.0,,,,,,,-58.14999999999998,-58.14999999999998,,,,,,,,
42289.0,,,,,,,-58.14999999999998,-58.14999999999998,-2.13,,,-2.13,,,,
42470.44999999995,,,254.69,,,254.69,,,,,,,,,,
42474.0,,,,243.9,,243.9,,,,,,,,,,
42555.0,,,,,,,,,,,,,598.0,,,598.0
42672.0,,,,,,,-58.14999999999998,-58.14999999999998,,,,,,,,
42780.02000000002,,,254.93,,,254.93,,,,,,,,,,
42965.0,,,,,,,-58.14999999999998,-58.14999999999998,-2.17,,,-2.17,,,,
42999.0,,,,,,,-58.14999999999998,-58.14999999999998,,,,,,,,
43040.0,,,,245.8,,245.8,,,,,,,,,,
43078.0,,,,,,,,,,,,,614.0,,,614.0
43321.0,,,,,,,-58.349999999999966,-58.14999999999998,,,,,,,,
43605.20999999996,,,252.46,,,252.46,,,,,,,,,,
43637.0,,,,,,,-58.349999999999966,-58.14999999999998,-2.34,,,-2.34,,,,
43806.0,,,,,,,,,,,,,681.0,,,681.0
43938.0,,,,246.1,,246.1,,,,,,,,,,
43970.0,,,,,,,-58.94999999999999,-58.14999999999998,,,,,,,,
43999.0,,,,,,,-58.94999999999999,-58.64999999999998,,,,,,,,
44156.25,,,247.3,,,247.3,,,,,,,,,,
44282.0,,,,246.3,,246.3,,,,,,,,,,
44302.0,,,,,,,-58.94999999999999,-58.64999999999998,-2.67,,,-2.67,,,,
44428.0,,,,,,,,,,,,,658.0,,,658.0
44619.0,,,,,,,-59.24999999999997,-58.64999999999998,,,,,,,,
44977.0,,,,,,,-59.24999999999997,-58.64999999999998,-2.7,,,-2.7,,,,
44999.0,,,,,,,-59.24999999999997,-59.24999999999997,,,,,,,,
45055.30000000005,,,248.92,,,248.92,,,,,,,,,,
45202.0,,,,243.9,,243.9,,,,,,,,,,
45283.0,,,,,,,,,,,,,601.0,,,601.0
45319.0,,,,,,,-59.74999999999997,-59.24999999999997,,,,,,,,
45505.73999999999,,,245.32,,,245.32,,,,,,,,,,
45679.0,,,,,,,-59.74999999999997,-59.24999999999997,-2.69,,,-2.69,,,,
45801.0,,,,238.8,,238.8,,,,,,,,,,
45844.0,,,,,,,,,,,,,618.0,,,618.0
45999.0,,,,,,,-59.74999999999997,-59.74999999999997,,,,,,,,
46019.0,,,,,,,-59.94999999999999,-59.74999999999997,,,,,,,,
46299.98999999999,,,241.74,,,241.74,,,,,,,,,,
46396.0,,,,,,,-59.94999999999999,-59.74999999999997,-2.96,,,-2.96,,,,
46592.0,,,,,,,,,,,,,577.0,,,577.0
46719.0,,,,,,,-59.64999999999998,-59.74999999999997,,,,,,,,
46787.0,,,,240.5,,240.5,,,,,,,,,,
46879.189999999944,,,238.39,,,238.39,,,,,,,,,,
46999.0,,,,,,,-59.64999999999998,-59.79999999999998,,,,,,,,
47135.0,,,,,,,-59.64999999999998,-59.79999999999998,-3.47,,,-3.47,,,,
47290.0,,,,236.9,,236.9,,,,,,,,,,
47313.0,,,,,,,,,,,,,583.0,,,583.0
47373.0,,,,,,,-59.349999999999966,-59.79999999999998,,,,,,,,
47793.859999999986,,,239.23,,,239.23,,,,,,,,,,
47881.0,,,,,,,-59.349999999999966,-59.79999999999998,-3.82,,,-3.82,,,,
47999.0,,,,,,,-59.349999999999966,-59.349999999999966,,,,,,,,
48028.0,,,,,,,-58.849999999999966,-59.349999999999966,,,,,,,,
48153.53000000003,,,237.78,,,237.78,,,,,,,,,,
48158.0,,,,233.3,,233.3,,,,,,,,,,
48206.0,,,,,,,,,,,,,549.0,,,549.0
48588.18000000005,,,246.03,,,246.03,,,,,,,,,,
48599.0,,,,,,,-58.849999999999966,-59.349999999999966,-4.13,,,-4.13,,,,
48682.0,,,,,,,-59.14999999999998,-59.349999999999966,,,,,,,,
48795.0,,,,230.0,,230.0,,,,,,,,,,
48839.0,,,,,,,,,,,,,566.0,,,566.0
48842.359999999986,,,243.85,,,243.85,,,,,,,,,,
48999.0,,,,,,,-59.14999999999998,-58.99999999999997,,,,,,,,
49100.04000000004,,,246.49,,,246.49,,,,,,,,,,
49285.0,,,,,,,-59.14999999999998,-58.99999999999997,-4.52,,,-4.52,,,,
49363.439999999944,,,243.89,,,243.89,,,,,,,,,,
49439.0,,,,,,,-59.849999999999966,-58.99999999999997,,,,,,,,
49639.0,,,,,,,,,,,,,530.0,,,530.0
49662.73999999999,,,239.71,,,239.71,,,,,,,,,,
49762.0,,,,230.9,,230.9,,,,,,,,,,
49824.0,,,,,,,,,,,,,539.0,,,539.0
49931.0,,,,,,,-59.849999999999966,-58.99999999999997,-4.32,,,-4.32,,,,
49999.0,,,,,,,-59.849999999999966,-59.849999999999966,,,,,,,,
50009.0,,,,,,,,,,,,,543.0,,,543.0
50025.32999999996,,,234.24,,,234.24,,,,,,,,,,
50130.0,,,,229.5,,229.5,,,,,,,,,,
50197.0,,,,,,,-60.54999999999998,-59.849999999999966,,,,,,,,
50297.0,,,,,,,,,,,,,556.0,,,556.0
50318.67000000004,,,236.32,,,236.32,,,,,,,,,,
50578.0,,,,237.7,,237.7,,,,,,,,,,
50589.0,,,,,,,-60.54999999999998,-59.849999999999966,-3.93,,,-3.93,,,,
50633.0,,,,,,,,,,,,,639.0,,,639.0
50817.32999999996,,,229.56,,,229.56,,,,,,,,,,
50844.0,,,,235.6,,235.6,,,,,,,,,,
50907.0,,,,,,,,,,,,,647.0,,,647.0
50954.0,,,,,,,-61.14999999999998,-59.849999999999966,,,,,,,,
50999.0,,,,,,,-61.14999999999998,-60.84999999999998,,,,,,,,
51114.0,,,,238.2,,238.2,,,,,,,,,,
51236.0,,,,,,,,,,,,,632.0,,,632.0
51238.84999999998,,,230.63,,,230.63,,,,,,,,,,
51279.0,,,,,,,-61.14999999999998,-60.84999999999998,-3.8,,,-3.8,,,,
51391.0,,,,235.6,,235.6,,,,,,,,,,
51544.0,,,,,,,,,,,,,630.0,,,630.0
51705.0,,,,231.5,,231.5,,,,,,,,,,
51732.0,,,,,,,-61.54999999999998,-60.84999999999998,,,,,,,,
51758.0,,,,,,,,,,,,,622.0,,,622.0
51999.0,,,,,,,-61.54999999999998,-61.54999999999998,,,,,,,,
52007.0,,,,,,,-61.54999999999998,-61.54999999999998,-3.84,,,-3.84,,,,
52051.0,,,,226.0,,226.0,,,,,,,,,,
52111.0,,,,,,,,,,,,,616.0,,,616.0
52186.57999999996,,,225.87,,,225.87,,,,,,,,,,
52258.0,,,,,,,,,,,,,587.0,,,587.0
52324.0,,,,228.1,,228.1,,,,,,,,,,
52509.0,,,,,,,-61.24999999999997,-61.54999999999998,,,,,,,,
52538.0,,,,,,,,,,,,,570.0,,,570.0
