bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,Bag,Age,Deuterium,anom c,year,temp c
,1994.85,,,,,,3628,180829.29,-436.38,-8.10,,
,1995.4,,,,,,3629,180956.06,-438.8,-8.49,,
,1995.95,,,,,,3630,181085.85,-437.6,-8.29,,
,1996.5,,,,,,3631,181214.64,-441.9,-9.00,,
,1997.05,,,,,,3632,181350.54,-440.6,-8.79,,
,1997.6,,,,,,3633,181484.37,-437.8,-8.32,,
,1998.15,,,,,,3634,181602.64,-442.4,-9.08,,
,1998.7,,,,,,3635,181729.28,-442.3,-9.06,,
,1999.25,,,,,,3636,181868.11,-439.2,-8.55,,
,1999.8,,,,,,3637,182000.80,-443.4,-9.24,,
,2000.35,,,,,,3638,182132.54,-441.3,-8.89,,
,2000.9,,,,,,3639,182269.30,-436,-8.02,,
,2001.45,,,,,,3640,182407.78,-439,-8.51,,
,2002,,,,,,3641,182533.53,-438.4,-8.41,,
,2002.55,,,,,,3642,182662.72,-441,-8.84,,
,2003.1,,,,,,3643,182798.21,-440.4,-8.74,,
,2003.65,,,,,,3644,182929.21,-441,-8.84,,
,2004.2,,,,,,3645,183062.43,-440.6,-8.77,,
,2004.75,,,,,,3646,183195.26,-443.4,-9.23,,
,2005.3,,,,,,3647,183331.57,-437.9,-8.32,,
,2005.85,,,,,,3648,183461.43,-443.6,-9.26,,
,2006.4,,,,,,3649,183597.68,-443.3,-9.20,,
,2006.95,,,,,,3650,183739.84,-441.1,-8.84,,
,2007.5,,,,,,3651,183877.17,-437.9,-8.31,,
,2008.05,,,,,,3652,184009.06,-439.4,-8.55,,
,2008.6,,,,,,3653,184143.08,-438.2,-8.35,,
,2009.15,,,,,,3654,184275.78,-442.4,-9.04,,
,2009.7,,,,,,3655,184415.96,-441.1,-8.82,,
,2010.25,,,,,,3656,184554.18,-438.8,-8.43,,
,2010.8,,,,,,3657,184688.18,-443.2,-9.15,,
,2011.35,,,,,,3658,184831.10,-440.2,-8.66,,
,2011.9,,,,,,3659,184967.92,-438.4,-8.35,,
,2012.45,,,,,,3660,185101.01,-435.5,-7.87,,
,2013,,,,,,3661,185228.55,-433.3,-7.51,,
,2013.55,,,,,,3662,185352.96,-439.3,-8.50,,
,2014.1,,,,,,3663,185487.49,-438.8,-8.41,,
,2014.65,,,,,,3664,185621.86,-437.7,-8.22,,
,2015.2,,,,,,3665,185754.59,-438.4,-8.34,,
,2015.75,,,,,,3666,185888.45,-435.7,-7.89,,
,2016.3,,,,,,3667,186017.04,-435.4,-7.84,,
,2016.85,,,,,,3668,186145.20,-435,-7.77,,
,2017.4,,,,,,3669,186272.59,-434.3,-7.65,,
,2017.95,,,,,,3670,186398.05,-434.6,-7.69,,
,2018.5,,,,,,3671,186512.46,-432.4,-7.33,,
,2019.05,,,,,,3672,186633.77,-427.2,-6.47,,
,2019.6,,,,,,3673,186747.92,-430.6,-7.03,,
,2020.15,,,,,,3674,186866.91,-428.9,-6.75,,
,2020.7,,,,,,3675,186983.86,-428.2,-6.63,,
,2021.25,,,,,,3676,187099.43,-428.2,-6.63,,
,2021.8,,,,,,3677,187213.80,-421.6,-5.54,,
,2022.35,,,,,,3678,187319.62,-422.1,-5.62,,
,2022.9,,,,,,3679,187425.08,-423.4,-5.83,,
,2023.45,,,,,,3680,187532.08,-418.9,-5.09,,
,2024,,,,,,3681,187632.92,-418.5,-5.02,,
,2024.55,,,,,,3682,187732.50,-414.6,-4.38,,
,2025.1,,,,,,3683,187826.40,-411.6,-3.89,,
,2025.65,,,,,,3684,187916.37,-414.2,-4.32,,
,2026.2,,,,,,3685,188009.06,-412.4,-4.03,,
,2026.75,,,,,,3686,188101.98,-422.5,-5.69,,
,2027.3,,,,,,3687,188207.41,-422.5,-5.69,,
,2027.85,,,,,,3688,188314.39,-422.21,-5.64,,
,2028.4,,,,,,3689,188421.57,-421.8,-5.57,,
,2028.95,,,,,,3690,188528.47,-427.9,-6.58,,
,2029.5,,,,,,3691,188644.20,-425.1,-6.12,,
,2030.05,,,,,,3692,188756.60,-425.62,-6.20,,
,2030.6,,,,,,3693,188871.96,-428.2,-6.62,,
,2031.15,,,,,,3694,188989.36,-421.1,-5.45,,
,2031.7,,,,,,3695,189095.21,-425.1,-6.11,,
,2032.25,,,,,,3696,189207.23,-425.1,-6.11,,
,2032.8,,,,,,3697,189320.41,-428.9,-6.73,,
,2033.35,,,,,,3698,189439.25,-428.9,-6.73,,
,2033.9,,,,,,3699,189558.41,-426.1,-6.27,,
,2034.45,,,,,,3700,189673.87,-427.6,-6.51,,
,2035,,,,,,3701,189791.18,-428.5,-6.66,,
,2035.55,,,,,,3702,189911.43,-433.2,-7.43,,
,2036.1,,,,,,3703,190039.01,-426.4,-6.31,,
,2036.65,,,,,,3704,190155.29,-428.9,-6.71,,
,2037.2,,,,,,3705,190275.63,-430.8,-7.02,,
,2037.75,,,,,,3706,190400.39,-436.7,-7.99,,
,2038.3,,,,,,3707,190535.98,-436.9,-8.01,,
,2038.85,,,,,,3708,190671.90,-431.3,-7.08,,
,2039.4,,,,,,3709,190799.20,-437.3,-8.06,,
,2039.95,,,,,,3710,190936.15,-430.7,-6.97,,
,2040.5,,,,,,3711,191061.40,-432,-7.18,,
,2041.05,,,,,,3712,191188.48,-432.6,-7.27,,
,2041.6,,,,,,3713,191316.50,-429.4,-6.74,,
,2042.15,,,,,,3714,191439.60,-430.5,-6.91,,
,2042.7,,,,,,3715,191563.54,-426.7,-6.28,,
,2043.25,,,,,,3716,191682.22,-430.7,-6.93,,
,2043.8,,,,,,3717,191805.57,-421.9,-5.48,,
,2044.35,,,,,,3718,191916.53,-423.51,-5.74,,
,2044.9,,,,,,3719,192025.56,-417.5,-4.75,,
,2045.45,,,,,,3720,192126.87,-418.7,-4.94,,
,2046,,,,,,3721,192230.54,-417.1,-4.67,,
,2046.55,,,,,,3722,192332.48,-417.7,-4.77,,
,2047.1,,,,,,3723,192435.47,-428.3,-6.51,,
,2047.65,,,,,,3724,192555.87,-425,-5.96,,
,2048.2,,,,,,3725,192672.45,-429.2,-6.64,,
,2048.75,,,,,,3726,192794.68,-426.4,-6.17,,
,2049.3,,,,,,3727,192912.71,-425.5,-6.02,,
,2049.85,,,,,,3728,193028.83,-422,-5.43,,
,2050.4,,,,,,3729,193139.70,-429,-6.58,,
,2050.95,,,,,,3730,193263.63,-434.5,-7.47,,
,2051.5,,,,,,3731,193396.15,-429.3,-6.60,,
,2052.05,,,,,,3732,193520.51,-430.3,-6.75,,
,2052.6,,,,,,3733,193645.85,-430.7,-6.81,,
,2053.15,,,,,,3734,193769.64,-431.9,-6.99,,
,2053.7,,,,,,3735,193897.45,-427.3,-6.22,,
,2054.25,,,,,,3736,194019.10,-433.7,-7.26,,
,2054.8,,,,,,3737,194149.40,-425.8,-5.95,,
,2055.35,,,,,,3738,194268.64,-431,-6.79,,
,2055.9,,,,,,3739,194394.53,-427.5,-6.20,,
,2056.45,,,,,,3740,194515.20,-427.6,-6.21,,
,2057,,,,,,3741,194635.71,-426.3,-5.98,,
,2057.55,,,,,,3742,194753.67,-424.5,-5.67,,
,2058.1,,,,,,3743,194869.91,-430,-6.57,,
,2058.65,,,,,,3744,194993.69,-422.6,-5.34,,
,2059.2,,,,,,3745,195105.27,-419.9,-4.88,,
,2059.75,,,,,,3746,195213.30,-422.8,-5.35,,
,2060.3,,,,,,3747,195324.42,-421.1,-5.06,,
,2060.85,,,,,,3748,195433.88,-421.1,-5.05,,
,2061.4,,,,,,3749,195545.48,-423,-5.35,,
,2061.95,,,,,,3750,195641.75,-417.7,-4.47,,
,2062.5,,,,,,3751,195742.78,-421.9,-5.15,,
,2063.05,,,,,,3752,195852.63,-420.5,-4.91,,
,2063.6,,,,,,3753,195960.94,-420.7,-4.93,,
,2064.15,,,,,,3754,196067.99,-413.9,-3.80,,
,2064.7,,,,,,3755,196168.07,-421,-4.96,,
,2065.25,,,,,,3756,196274.90,-418.6,-4.56,,
,2065.8,,,,,,3757,196377.64,-420.7,-4.90,,
,2066.35,,,,,,3758,196482.82,-417.7,-4.39,,
,2066.9,,,,,,3759,196579.29,-420.3,-4.81,,
,2067.45,,,,,,3760,196686.04,-419,-4.59,,
,2068,,,,,,3761,196791.59,-416.7,-4.20,,
,2068.55,,,,,,3762,196893.44,-415.3,-3.96,,
,2069.1,,,,,,3763,196993.14,-414.8,-3.87,,
,2069.65,,,,,,3764,197091.97,-413.7,-3.68,,
,2070.2,,,,,,3765,197189.19,-410.9,-3.20,,
,2070.75,,,,,,3766,197282.30,-412.3,-3.43,,
,2071.3,,,,,,3767,197377.34,-413.2,-3.57,,
,2071.85,,,,,,3768,197473.61,-413.3,-3.57,,
,2072.4,,,,,,3769,197568.64,-409.9,-3.00,,
,2072.95,,,,,,3770,197656.14,-408.5,-2.76,,
,2073.5,,,,,,3771,197745.34,-410.6,-3.10,,
,2074.05,,,,,,3772,197837.64,-409.5,-2.92,,
,2074.6,,,,,,3773,197928.56,-409.2,-2.86,,
,2075.15,,,,,,3774,198018.89,-408.1,-2.67,,
,2075.7,,,,,,3775,198107.50,-405,-2.16,,
,2076.25,,,,,,3776,198193.02,-407.7,-2.60,,
,2076.8,,,,,,3777,198281.72,-413.9,-3.61,,
,2077.35,,,,,,3778,198376.03,-407.7,-2.58,,
,2077.9,,,,,,3779,198465.41,-408.7,-2.74,,
,2078.45,,,,,,3780,198554.01,-402.5,-1.71,,
,2079,,,,,,3781,198636.50,-403.1,-1.81,,
,2079.55,,,,,,3782,198715.02,-406,-2.29,,
,2080.1,,,,,,3783,198800.28,-409.5,-2.86,,
,2080.65,,,,,,3784,198890.81,-407.4,-2.51,,
,2081.2,,,,,,3785,198978.77,-405.5,-2.19,,
,2081.75,,,,,,3786,199064.66,-405.9,-2.25,,
,2082.3,,,,,,3787,199150.84,-406.7,-2.38,,
,2082.85,,,,,,3788,199237.93,-404.7,-2.04,,
,2083.4,,,,,,3789,199322.99,-407.25,-2.46,,
,2083.95,,,,,,3790,199410.42,-405.5,-2.17,,
,2084.5,,,,,,3791,199496.55,-406.2,-2.28,,
,2085.05,,,,,,3792,199583.29,-408.4,-2.64,,
,2085.6,,,,,,3793,199672.90,-408.7,-2.68,,
,2086.15,,,,,,3794,199761.50,-400.8,-1.37,,
,2086.7,,,,,,3795,199842.91,-403,-1.73,,
,2087.25,,,,,,3796,199925.53,-404.2,-1.93,,
,2087.8,,,,,,3797,200009.94,-406.4,-2.29,,
,2088.35,,,,,,3798,200096.31,-402.5,-1.65,,
,2088.9,,,,,,3799,200179.37,-408,-2.55,,
,2089.45,,,,,,3800,200268.32,-408.5,-2.63,,
,2090,,,,,,3801,200358.35,-407.3,-2.43,,
,2090.55,,,,,,3802,200447.88,-407.5,-2.47,,
,2091.1,,,,,,3803,200536.85,-407.2,-2.41,,
,2091.65,,,,,,3804,200624.18,-403.1,-1.73,,
,2092.2,,,,,,3805,200708.42,-406,-2.21,,
,2092.75,,,,,,3806,200794.88,-405.5,-2.13,,
,2093.3,,,,,,3807,200881.40,-406.3,-2.26,,
,2093.85,,,,,,3808,200968.91,-406.5,-2.29,,
,2094.4,,,,,,3809,201055.81,-401.2,-1.42,,
,2094.95,,,,,,3810,201137.77,-411.8,-3.17,,
,2095.5,,,,,,3811,201233.02,-407.82,-2.51,,
,2096.05,,,,,,3812,201323.51,-405.35,-2.10,,
,2096.6,,,,,,3813,201408.79,-403.4,-1.78,,
,2097.15,,,,,,3814,201492.84,-402.8,-1.68,,
,2097.7,,,,,,3815,201576.81,-407.7,-2.50,,
,2098.25,,,,,,3816,201666.59,-410.4,-2.94,,
,2098.8,,,,,,3817,201759.97,-410.4,-2.94,,
,2099.35,,,,,,3818,201854.21,-412.1,-3.22,,
,2099.9,,,,,,3819,201950.24,-410.3,-2.92,,
,2100.45,,,,,,3820,202044.91,-416.1,-3.88,,
,2101,,,,,,3821,202147.22,-415,-3.70,,
,2101.55,,,,,,3822,202248.57,-415,-3.69,,
,2102.1,,,,,,3823,202349.50,-412.3,-3.24,,
,2102.65,,,,,,3824,202447.30,-415,-3.69,,
,2103.2,,,,,,3825,202548.88,-418.9,-4.33,,
,2103.75,,,,,,3826,202656.05,-417.8,-4.14,,
,2104.3,,,,,,3827,202761.63,-414.4,-3.58,,
,2104.85,,,,,,3828,202864.19,-421,-4.67,,
,2105.4,,,,,,3829,202974.79,-422.6,-4.93,,
,2105.95,,,,,,3830,203089.07,-421.3,-4.71,,
,2106.5,,,,,,3831,203200.94,-418.4,-4.22,,
,2107.05,,,,,,3832,203309.94,-423.98,-5.14,,
,2107.6,,,,,,3833,203426.42,-417.8,-4.11,,
,2108.15,,,,,,3834,203534.14,-421.6,-4.74,,
,2108.7,,,,,,3835,203647.03,-422.1,-4.82,,
,2109.25,,,,,,3836,203760.59,-420.1,-4.48,,
,2109.8,,,,,,3837,203871.22,-418.5,-4.21,,
,2110.35,,,,,,3838,203979.96,-422.84,-4.92,,
,2110.9,,,,,,3839,204097.05,-422,-4.78,,
,2111.45,,,,,,3840,204210.51,-417.9,-4.09,,
,2112,,,,,,3841,204318.55,-419.4,-4.34,,
,2112.55,,,,,,3842,204427.84,-417.5,-4.02,,
,2113.1,,,,,,3843,204537.40,-413.4,-3.34,,
,2113.65,,,,,,3844,204637.44,-417,-3.93,,
,2114.2,,,,,,3845,204743.29,-420.7,-4.54,,
,2114.75,,,,,,3846,204854.46,-417.3,-3.97,,
,2115.3,,,,,,3847,204960.51,-413.3,-3.31,,
,2115.85,,,,,,3848,205061.47,-414.06,-3.43,,
,2116.4,,,,,,3849,205163.67,-413.6,-3.35,,
,2116.95,,,,,,3850,205264.41,-413.9,-3.40,,
,2117.5,,,,,,3851,205365.24,-413.9,-3.40,,
,2118.05,,,,,,3852,205465.31,-409.5,-2.67,,
,2118.6,,,,,,3853,205561.83,-416.9,-3.89,,
,2119.15,,,,,,3854,205665.20,-411.5,-3.00,,
,2119.7,,,,,,3855,205763.59,-411.6,-3.02,,
,2120.25,,,,,,3856,205861.57,-414,-3.41,,
,2120.8,,,,,,3857,205962.55,-414.7,-3.53,,
,2121.35,,,,,,3858,206064.71,-413.3,-3.29,,
,2121.9,,,,,,3859,206165.81,-413,-3.24,,
,2122.45,,,,,,3860,206265.64,-411.6,-3.01,,
,2123,,,,,,3861,206363.72,-409.1,-2.60,,
,2123.55,,,,,,3862,206458.14,-406.8,-2.22,,
,2124.1,,,,,,3863,206551.56,-411.9,-3.06,,
,2124.65,,,,,,3864,206649.43,-412.9,-3.23,,
,2125.2,,,,,,3865,206748.79,-410,-2.75,,
,2125.75,,,,,,3866,206845.18,-416.2,-3.77,,
,2126.3,,,,,,3867,206949.26,-411.4,-2.98,,
,2126.85,,,,,,3868,207047.50,-410.9,-2.89,,
,2127.4,,,,,,3869,207144.50,-411.2,-2.94,,
,2127.95,,,,,,3870,207241.94,-412,-3.08,,
,2128.5,,,,,,3871,207340.62,-413.2,-3.27,,
,2129.05,,,,,,3872,207441.10,-410.1,-2.76,,
,2129.6,,,,,,3873,207537.09,-411.4,-2.98,,
,2130.15,,,,,,3874,207634.47,-408.28,-2.46,,
,2130.7,,,,,,3875,207723.51,-407.8,-2.39,,
,2131.25,,,,,,3876,207815.47,-407.2,-2.29,,
,2131.8,,,,,,3877,207908.01,-410.7,-2.87,,
,2132.35,,,,,,3878,208003.91,-407.55,-2.35,,
,2132.9,,,,,,3879,208097.37,-407.9,-2.41,,
,2133.45,,,,,,3880,208190.27,-406.5,-2.19,,
,2134,,,,,,3881,208281.48,-409.1,-2.62,,
,2134.55,,,,,,3882,208376.01,-409,-2.61,,
,2135.1,,,,,,3883,208470.86,-409.8,-2.74,,
,2135.65,,,,,,3884,208565.70,-405,-1.95,,
