year reset,temp cffill mod,anom c mod,co2 mean,ch4 mean,irtemp mean,irrain mean
60999.0,-61.04999999999998,,,,,
61192.0,-60.849999999999966,,,,,
61202.0,,,,454.0,,
61321.93999999994,,,225.62,,,
61338.0,,,206.9,,,
61421.0,-60.849999999999966,-7.27,,,,
61636.0,,,208.8,,,
61729.72999999998,,,225.37,,,
61823.0,,,,462.0,,
61867.0,-60.54999999999998,,,,,
61959.79000000004,,,223.02,,,
61999.0,-60.54999999999998,,,,,
62000.0,-60.54999999999998,-7.12,,,,
62276.12,,,226.94,,,
62462.0,-60.24999999999997,,,,,
62532.0,,,214.9,,,
62556.0,-60.24999999999997,-6.43,,,,
62638.0,,,,434.0,,
62702.310000000056,,,222.72,,,
62955.0,,,217.9,,,
62999.0,-60.24999999999997,,,,,
63021.0,,,,421.0,,
63057.0,-59.74999999999997,,,,,
63081.0,-59.74999999999997,-6.07,,,,
63363.0,,,217.6,,,
63456.0,,,,486.0,,
63475.57999999996,,,218.35,,,
63573.0,-59.74999999999997,-5.77,,,,
63579.0,,,215.3,,,
63652.0,-60.24999999999997,,,,,
63695.0,,,,498.0,,
63838.0,,,,498.0,,
63876.0,,,219.2,,,
63999.0,-60.24999999999997,,,,,
64052.55000000005,,,213.61,,,
64080.0,-60.24999999999997,-5.3,,,,
64277.0,,,215.0,,,
64323.0,-61.14999999999998,,,,,
64330.0,,,,505.0,,
64618.0,-61.14999999999998,-5.09,,,,
64622.0,,,,480.0,,
64843.0,,,,473.0,,
64967.0,,,210.7,,,
64987.31999999995,,,209.45,,,
64995.0,-62.04999999999998,,,,,
64999.0,-62.04999999999998,,,,,
65052.0,,,,439.0,,
65195.0,-62.04999999999998,-5.5,,,,
65271.82999999996,,,208.1,,,
65481.0,,,206.0,,,
65517.0,,,,419.0,,
65666.0,-62.349999999999966,,,,,
65778.0,-62.349999999999966,-6.25,,,,
65999.0,-62.349999999999966,,,,,
66223.0,,,,445.0,,
66251.17000000004,,,203.3,,,
66343.0,,,201.9,,,
66363.0,-62.349999999999966,-7.22,,,,
66385.0,-62.54999999999998,,,,,
66597.0,,,200.5,,,
66698.0,,,,429.0,,
66723.42000000004,,,199.05,,,
66952.0,-62.54999999999998,-7.54,,,,
66999.0,-62.54999999999998,,,,,
67103.0,-62.849999999999966,,,,,
67444.0,,,195.8,,,
67489.0,,,,406.0,,
67538.0,-62.849999999999966,-7.79,,,,
67818.0,,,,410.0,,
67822.0,-63.04999999999998,,,,,
67854.0,,,191.5,,,
67903.34999999998,,,203.9,,,
67999.0,-63.04999999999998,,,,,
68122.0,-63.04999999999998,-7.97,,,,
68348.93000000005,,,195.43,,,
68542.0,-63.14999999999998,,,,,
68699.0,-63.14999999999998,-8.24,,,,
68860.0,,,196.5,,,
68999.0,-63.14999999999998,,,,,
69233.0,,,188.0,,,
69262.0,-63.14999999999998,,,,,
69270.0,,,,431.0,,
69272.12,,,197.5,,,
69277.0,-63.14999999999998,-8.37,,,,
69848.0,-63.14999999999998,-8.42,,,,
69864.13,,,193.55,,,
69982.0,-63.24999999999997,,,,,
69999.0,-63.24999999999997,,,,,
70008.0,,,190.1,,,
70083.0,,,,401.0,,
70410.0,-63.24999999999997,-8.59,,,,
70537.0,,,186.2,,,
70584.0,,,,428.0,,
70664.0,-63.24999999999997,,,,,
70801.75,,,191.3,,,
70960.0,-63.24999999999997,-8.58,,,,
70999.0,-63.24999999999997,,,,,
71131.56000000006,,,192.08,,,
71235.0,,,,408.0,,
71346.0,-63.14999999999998,,,,,
71362.0,,,184.0,,,
71516.0,-63.14999999999998,-8.5,,,,
71644.0,,,184.8,,,
71793.0,,,,400.0,,
71999.0,-63.14999999999998,,,,,
72023.81999999995,,,190.17,,,
72028.0,-63.04999999999998,,,,,
72072.0,-63.04999999999998,-8.32,,,,
72437.0,,,182.9,,,
72518.0,,,,378.0,,
72575.06999999995,,,188.68,,,
72635.0,-63.04999999999998,-8.44,,,,
72693.0,-63.14999999999998,,,,,
72925.0,,,181.4,,,
72968.0,,,,409.0,,
72999.0,-63.14999999999998,,,,,
73196.0,-63.14999999999998,-8.6,,,,
73357.0,-63.14999999999998,,,,,
73501.12,,,187.54,,,
73605.0,,,,392.0,,
73737.0,,,180.4,,,
73747.0,-63.14999999999998,-8.69,,,,
73897.80000000005,,,187.95,,,
73999.0,-63.14999999999998,,,,,
74022.0,-63.349999999999966,,,,,
74079.0,,,180.8,,,
74122.0,,,,405.0,,
74318.0,-63.349999999999966,-8.63,,,,
74660.95999999996,,,187.92,,,
74682.0,-63.24999999999997,,,,,
74728.0,,,180.8,,,
74788.0,,,,402.0,,
74891.0,-63.24999999999997,-8.62,,,,
74999.0,-63.24999999999997,,,,,
75195.0,,,183.1,,,
75218.06999999995,,,190.24,,,
75235.0,,,,428.0,,
75341.0,-62.94999999999999,,,,,
75463.0,-62.94999999999999,-8.56,,,,
75833.0,,,,415.0,,
75999.0,-62.94999999999999,,,,,
76001.0,-63.349999999999966,,,,,
76002.0,,,180.2,,,
76056.0,-63.349999999999966,-8.56,,,,
76166.94999999995,,,187.29,,,
76366.0,,,,432.0,,
76666.0,-63.24999999999997,,,,,
76667.0,-63.24999999999997,-8.41,,,,
76995.0,,,182.0,,,
76999.0,-63.24999999999997,,,,,
77064.0,,,,421.0,,
77293.0,-63.24999999999997,-8.67,,,,
77314.85999999999,,,188.97,,,
77331.0,-63.14999999999998,,,,,
77484.0,,,181.2,,,
77526.0,,,,422.0,,
77878.92000000004,,,188.18,,,
77904.0,-63.14999999999998,-8.84,,,,
77996.0,-63.44999999999999,,,,,
77999.0,-63.44999999999999,,,,,
78132.0,,,,439.0,,
78249.0,,,180.4,,,
78513.0,-63.44999999999999,-8.95,,,,
78605.0,,,181.7,,,
78631.0,,,,422.0,,
78685.0,-63.64999999999998,,,,,
78775.82999999996,,,187.33,,,
78999.0,-63.64999999999998,,,,,
79131.0,-63.64999999999998,-8.6,,,,
79193.25,,,188.65,,,
79280.0,,,182.3,,,
79335.0,,,,402.0,,
79375.0,-63.74999999999997,,,,,
79752.0,-63.74999999999997,-8.47,,,,
79763.0,,,177.9,,,
79767.0,,,,409.0,,
79963.87,,,189.14,,,
79999.0,-63.74999999999997,,,,,
80064.0,-63.349999999999966,,,,,
80373.0,-63.349999999999966,-8.25,,,,
80415.0,,,,388.0,,
80508.09999999998,,,184.77,,,
80531.0,,,176.6,,,
80744.0,-63.14999999999998,,,,,
80817.0,,,178.6,,,
80970.0,,,,414.0,,
80971.0,-63.14999999999998,-8.24,,,,
80999.0,-63.14999999999998,,,,,
81377.07999999996,,,183.39,,,
81425.0,-63.24999999999997,,,,,
81544.0,-63.24999999999997,-8.08,,,,
81561.0,,,178.9,,,
81626.0,,,,411.0,,
81731.55000000005,,,185.4,,,
81996.0,,,185.0,,,
81999.0,-63.24999999999997,,,,,
82028.0,,,,403.0,,
82060.0,-63.24999999999997,-7.16,,,,
82105.0,-63.14999999999998,,,,,
82561.0,-63.14999999999998,-6.27,,,,
82565.0,,,,408.0,,
82663.43999999994,,,185.61,,,
82701.0,,,197.8,,,
82765.0,-63.04999999999998,,,,,
82994.0,,,200.3,,,
