dmy float,dmy,irtemp c,min c,max c
1834.6174863387978,1834-08-14,,,
1834.620218579235,1834-08-15,,,
1834.622950819672,1834-08-16,,,
1834.6256830601094,1834-08-17,,,
1834.6284153005465,1834-08-18,,,
1834.6311475409836,1834-08-19,,,
1834.6338797814208,1834-08-20,,,
1834.636612021858,1834-08-21,,,
1834.639344262295,1834-08-22,,,
1834.6420765027322,1834-08-23,,,
1834.6448087431695,1834-08-24,,,
1834.6475409836066,1834-08-25,,,
1834.6502732240438,1834-08-26,,,
1834.6530054644809,1834-08-27,,,
1834.655737704918,1834-08-28,,,
1834.6584699453551,1834-08-29,,,
1834.6612021857923,1834-08-30,,,
1834.6639344262296,1834-08-31,,,
1834.0245901639344,1834-01-09,,,
1834.1092896174864,1834-02-09,,,
1834.1857923497269,1834-03-09,,,
1834.2704918032787,1834-04-09,,,
1834.3524590163934,1834-05-09,,,
1834.4371584699454,1834-06-09,,,
1834.51912568306,1834-07-09,,,
1834.603825136612,1834-08-09,,,
1834.688524590164,1834-09-09,,,
1834.7704918032787,1834-10-09,,,
1834.8551912568305,1834-11-09,,,
1834.9371584699454,1834-12-09,,,
1834.6994535519125,1834-09-13,,,
1834.7021857923498,1834-09-14,,,
1834.704918032787,1834-09-15,,,
1834.707650273224,1834-09-16,,,
1834.7103825136612,1834-09-17,,,
1834.7131147540983,1834-09-18,,,
1834.7158469945355,1834-09-19,,,
1834.7185792349726,1834-09-20,,,
1834.72131147541,1834-09-21,,,
1834.724043715847,1834-09-22,,,
1834.7267759562842,1834-09-23,,,
1834.7295081967213,1834-09-24,,,
1834.7322404371585,1834-09-25,,,
1834.7349726775956,1834-09-26,,,
1834.7377049180327,1834-09-27,,,
1834.74043715847,1834-09-28,,,
1834.7431693989072,1834-09-29,,,
1834.7459016393443,1834-09-30,,,
1834.0273224043715,1834-01-10,,,
1834.1120218579235,1834-02-10,,,
1834.188524590164,1834-03-10,,,
1834.2732240437158,1834-04-10,,,
1834.3551912568305,1834-05-10,,,
1834.4398907103825,1834-06-10,,,
1834.5218579234972,1834-07-10,,,
1834.6065573770493,1834-08-10,,,
1834.691256830601,1834-09-10,,,
1834.7732240437158,1834-10-10,,,
1834.8579234972678,1834-11-10,,,
1834.9398907103825,1834-12-10,,,
1834.7814207650274,1834-10-13,,,
1834.7841530054645,1834-10-14,,,
