year reset dt,year reset,year,temp c,anom c,modern anom c,modern temp c,temp c resample 1000Y,temp c mean
90408,90408.0,-729480.0,-59.34999999999997,,,,,
90507,90507.0,-729381.0,,-5.28,,,,
90963,90963.0,-728925.0,-59.34999999999997,,,,,
90999,,,,,,,,-59.34999999999997
91129,91129.0,-728759.0,,-5.23,,,,
91518,91518.0,-728370.0,-59.94999999999999,,,,,
91788,91788.0,-728100.0,,-5.31,,,,
91999,,,,,,,,-59.94999999999999
92073,92073.0,-727815.0,-61.14999999999998,,,,,
92469,92469.0,-727419.0,,-5.69,,,,
92657,92657.0,-727231.0,-61.24999999999997,,,,,
92999,,,,,,,,-61.199999999999974
93176,93176.0,-726712.0,,-5.83,,,,
93241,93241.0,-726647.0,-60.34999999999997,,,,,
93825,93825.0,-726063.0,-60.34999999999997,,,,,
93890,93890.0,-725998.0,,-6.05,,,,
93999,,,,,,,,-60.34999999999997
94425,94425.0,-725463.0,-60.74999999999997,,,,,
94625,94625.0,-725263.0,,-5.96,,,,
94999,,,,,,,,-60.74999999999997
95024,95024.0,-724864.0,-60.84999999999997,,,,,
95303,95303.0,-724585.0,,-6.1,,,,
95624,95624.0,-724264.0,-61.04999999999998,,,,,
95999,,,,,,,,-60.949999999999974
96036,96036.0,-723852.0,,-5.07,,,,
96215,96215.0,-723673.0,-60.94999999999999,,,,,
96805,96805.0,-723083.0,-61.14999999999998,,,,,
96856,96856.0,-723032.0,,-5.18,,,,
96999,,,,,,,,-61.04999999999998
97396,97396.0,-722492.0,-60.04999999999998,,,,,
97605,97605.0,-722283.0,,-5.75,,,,
97999,,,,,,,,-60.04999999999998
98005,98005.0,-721883.0,-60.74999999999997,,,,,
98360,98360.0,-721528.0,,-7.14,,,,
98613,98613.0,-721275.0,-61.74999999999997,,,,,
98999,,,,,,,,-61.24999999999997
99222,99222.0,-720666.0,-60.64999999999998,,,,,
99304,99304.0,-720584.0,,-8.32,,,,
99885,99885.0,-720003.0,-60.54999999999998,,,,,
99999,,,,,,,,-60.59999999999998
100195,100195.0,-719693.0,,-8.77,,,,
