Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
194500,279100,53.7551234,-8.1081918,49,Strokestown,Roscommon,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1988,155.3,93.8,132.9,20.9,71,52.6,135.5,109.4,119.5,120.1,53.9,107.5
1989,101.2,120.9,121.7,99.2,29.9,37.7,19.9,101.6,53.4,200,43,79.3
1990,121.8,191.8,51.9,62.1,36.6,111.7,59.3,100,26,159.9,59.7,126.1
1991,113.1,78.7,121.6,124.6,6.1,90.6,62.3,36.8,53.6,106.6,103.1,69.7
1992,78.5,54.9,110.1,104.9,53.7,41.8,113.2,157.9,79.2,54.8,169.3,57.1
1993,147.5,23.6,110.1,117.3,79.7,114.5,88.1,52.1,70.1,39,51.2,188.1
1994,147,109,104.3,97.5,52.8,60.2,90.5,70.3,92.3,51.8,105,158.1
1995,151.2,126.2,103.2,34,59.7,36.3,89.9,10.2,65.6,217.6,109.5,62.7
1996,57.5,119.2,66.3,82.7,57.9,47.1,57.4,114.1,37.3,158.5,103,45.9
1997,35.4,161.9,53.9,43.6,90.8,90.1,130.3,62.1,67.9,85.5,107.6,117.4
1998,117.8,48.2,82.2,122.7,25.1,131.5,82.4,78.2,75.5,153.5,109.8,105.4
1999,132.8,85.9,56.4,83.6,50.8,43.9,43,101.9,136.1,48.3,117.4,211.9
2000,54.2,116.7,53.4,74.9,47.2,53.3,39.4,96.5,85.2,146.5,145,119.8
2001,54,50.4,59.1,86,54.9,57.4,85.9,115.7,42.7,96.8,70.9,54
2002,137.8,183.4,88.9,79.1,156.9,111.7,80.5,54.6,57.1,192.6,150.3,108.5
2003,80.1,66.4,69.4,87,105.5,84.6,84.6,11.2,80.9,49.4,118.5,74.4
2004,114,42.9,86.5,65.1,66.1,94.2,65.5,100.3,97.4,133.5,63.3,101.1
2005,132.4,43.3,88.8,108.3,32.5,48.9,72.8,87.4,113.9,82.5,101.9,57.8
2006,43.3,124.1,63.7,63.7,140.5,35.3,51.1,74.1,151.3,131,109.6,170.2
2007,118.4,94.8,96,27.5,85.1,81.5,149.4,75.5,56.1,53.5,78.6,144.7
2008,175.4,62.3,126.4,51.5,20.4,91.8,56.8,160.4,98.7,162.9,97.6,69.4
2009,146.7,28.3,40.7,127.8,90.9,54.3,197.4,162.2,31.8,108.6,280.6,71.6
2010,67.5,49.1,90.2,69.3,30.5,35.6,138.2,52.6,173.7,73,115.1,63.7
