Year,Month,Daily,Max (°F),Min (°F),Max (°C),Min (°C)
1872,12,3,47.8,32.6,8.8,0.3
1872,12,4,47.8,27.3,8.8,-2.6
1872,12,5,47.7,27.4,8.7,-2.6
1872,12,6,50.2,41.5,10.1,5.3
1872,12,7,46.1,36.1,7.8,2.3
1872,12,8,44.6,33.6,7,0.9
1872,12,9,44,32.1,6.7,0.1
1872,12,10,39.2,31,4,-0.6
1872,12,11,39,27.6,3.9,-2.4
1872,12,12,36.8,28.9,2.7,-1.7
1872,12,13,42.7,29,5.9,-1.7
1872,12,14,42.8,34.1,6,1.2
1872,12,15,42.9,34.6,6.1,1.4
1872,12,16,42.7,35.1,5.9,1.7
1872,12,17,44.7,38,7.1,3.3
1872,12,18,41.6,34,5.3,1.1
1872,12,19,43.9,35.1,6.6,1.7
1872,12,20,44.9,37.5,7.2,3.1
1872,12,21,47.1,37.6,8.4,3.1
1872,12,22,53.6,43.7,12,6.5
1872,12,23,54.3,48,12.4,8.9
1872,12,24,52.9,45.1,11.6,7.3
1872,12,25,50.6,42.3,10.3,5.7
1872,12,26,47.6,33.7,8.7,0.9
1872,12,27,52.9,39.1,11.6,3.9
1872,12,28,53.3,37.9,11.8,3.3
1872,12,29,44.8,29.8,7.1,-1.2
1872,12,30,42.7,29.1,5.9,-1.6
1872,12,31,46.2,38.7,7.9,3.7
1873,1,1,46.7,35.8,8.2,2.1
1873,1,2,47.6,36.6,8.7,2.6
1873,1,3,46.1,36.7,7.8,2.6
1873,1,4,46,34.1,7.8,1.2
1873,1,5,45.8,32.7,7.7,0.4
1873,1,6,51.4,36,10.8,2.2
1873,1,7,52.7,47,11.5,8.3
1873,1,8,52,42.9,11.1,6.1
1873,1,9,47.5,36.7,8.6,2.6
1873,1,10,50.2,40.9,10.1,4.9
1873,1,11,49.1,39.7,9.5,4.3
1873,1,12,50.3,33.6,10.2,0.9
1873,1,13,52.4,34.5,11.3,1.4
1873,1,14,53.1,48.6,11.7,9.2
1873,1,15,52.7,42.5,11.5,5.8
1873,1,16,44.7,32.1,7.1,0.1
1873,1,17,40.1,31.9,4.5,-0.1
1873,1,18,44.7,32.5,7.1,0.3
1873,1,19,48.8,34,9.3,1.1
1873,1,20,36.8,21.7,2.7,-5.7
1873,1,21,32.7,18.9,0.4,-7.3
1873,1,22,36.8,26.7,2.7,-2.9
1873,1,23,39.7,31,4.3,-0.6
1873,1,24,40.7,29.1,4.8,-1.6
1873,1,25,42.5,28.5,5.8,-1.9
1873,1,26,49.7,36.6,9.8,2.6
1873,1,27,51.1,36.7,10.6,2.6
1873,1,28,48,36.4,8.9,2.4
1873,1,29,45,36.9,7.2,2.7
1873,1,30,41.7,33.6,5.4,0.9
1873,1,31,37.7,33.7,3.2,0.9
1873,2,1,39.9,35.4,4.4,1.9
1873,2,2,39.7,28.4,4.3,-2
1873,2,3,32.3,21.5,0.2,-5.8
1873,2,4,36.3,18.8,2.4,-7.3
1873,2,5,36.9,19.5,2.7,-6.9
1873,2,6,41.5,30,5.3,-1.1
1873,2,7,39.7,25.8,4.3,-3.4
