Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
167336.07,64387.09,51.831302,-8.4745107,154,Cork Airport,Cork,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1972,176.4,185.4,100.3,50.4,145.6,34.2,40.2,44.2,14,82,129.7,170.4
1973,127.3,85.8,37.8,33.5,182.5,41.1,47.8,75,155.9,107.3,105.5,114.6
1974,342.7,132.6,40.9,56.9,151.9,21.3,45.1,120.1,186.2,31.5,80.3,69.5
1975,162,56.4,33.7,42.9,32,20.2,65.7,42.4,139.7,204.8,62.3,25.3
1976,90.3,67,111,21.1,112.7,51.6,92.8,14.1,106.8,209.8,104.2,157.7
1977,151.9,238.2,150.9,37.8,40.9,36.4,30.1,127.2,67.5,228.6,86,204
1978,108.7,169,95.9,98.5,25.8,61.3,81.5,114.1,44.7,49.1,96.3,264.9
1979,130.5,173.6,102.4,40.9,102.3,67.3,16.2,96.6,42.9,153.7,98.7,220.1
1980,130.5,150.1,109.3,37.9,36.9,46.6,118.2,123,150.8,157.9,107.4,131.5
1981,41.8,112.8,197.7,30.3,216.4,74.1,36.2,18.7,169.2,79.7,106.4,168.5
1982,136.1,168,105.4,46.6,92.5,165.4,29,104.9,123.6,215.5,181.3,149.4
1983,140.5,98.3,103.6,85.6,100.6,55.7,39.3,71.3,197,110.3,77.5,150.5
1984,194.4,85.3,60.7,53.5,43,47.3,46.3,59,88.6,132.6,178.1,100.1
1985,101.7,127.9,111.2,65.4,53.7,101.3,50.4,177.7,80.3,84.5,113.1,166.6
1986,105.7,4.9,115.5,40.8,142.7,74.7,68.5,227,4.8,92,147.9,221.8
1987,78,132.6,131.2,92.8,24.5,122.5,42,88.6,118.9,147.5,74.2,186.8
1988,259.2,74.6,115,68.1,118.7,60.7,119.4,118.5,32.2,237.9,56,65.6
1989,100.2,118.2,166.5,60.8,10,61,12,101.8,71.7,121.7,78,239.1
1990,166.4,213.6,25.2,31.2,33.8,124.7,68.4,38.5,38.5,144.5,54.1,94.1
1991,118,121.2,139,120.8,4.5,92.7,88,20.4,114.7,147.9,137.2,23.4
1992,40.2,79.5,64.8,101.9,98.7,26.4,119.8,116,110.2,30.1,138.1,92.3
1993,169.1,20.8,74.9,109.5,151.8,105.8,90.5,27.5,198.9,57.6,121.2,198.8
1994,139.6,251.7,100.3,98.6,124.6,45.9,113.7,80.3,69.5,88.9,145.9,191.2
1995,178.7,164.5,97.8,23.7,76.7,21.3,81.2,11.5,68.2,234.4,121.5,174.6
1996,218.2,135.6,201.5,113.5,70.7,46.1,67.1,135.3,36.9,239.7,118,50.9
1997,57.4,159.3,31.4,48,66.1,101.4,47.8,231.3,73.1,113.1,213.5,126.8
1998,181.5,20.3,105.3,141.7,48.9,132.7,74.1,102.3,92.4,169.2,137.7,172.3
1999,145.6,26.8,52.7,107.9,56.5,35.4,20.5,200.4,180,74.3,81.3,195.7
2000,50.2,112,20.2,50.2,70.8,63.4,68.1,39.9,109.5,183.9,191.5,183.2
2001,87,134,116,71,20,58,118,154,71,142,31,73
2002,225,153,64,118,163,105,54,48,36,214,215,145
2003,76,79,70,127,100,115,96,23,55,28,125,73
2004,107,79,114,65,46,100,55,178,97,170,35,70
2005,125,29,83,133,89,59,107,52,111,220,105,78
2006,49,29,111,31,135,15,58,67,179,188,155,182
2007,89,142,89,27,65,156,118,80,36,64,57,135
2008,193,52,113,54,76,129,156,165,124,140,79,60
2009,198,21,41,155,91,85,204,157,55,167,228,160
2010,126,43,96,41,48,48,135,17,79,121,86,67
