Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
319700,186000,52.916983,-6.226596,131,Rathdrum,Wicklow,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1965,208,19.9,140.1,72.1,101.9,89.9,81.4,79.4,116.8,70,266.9,195.1
1966,208.7,284.4,46,257.2,78.3,134.9,49.6,84.8,91,210.3,89.3,189.6
1967,126.6,152.8,58.4,33.4,218.4,16.7,46.3,74.7,200.6,166,71.8,54.9
1968,106,36.6,69.1,88.7,87,60.2,27.8,62.8,200.3,121.2,192.1,233.6
1969,207.3,88.7,101.3,70.4,152.1,46.8,30.5,52.4,36.7,15.1,97.2,133.6
1970,200.7,95.3,49,96.2,21.6,39.6,63.5,80.5,66.4,38.4,220.6,112.4
1971,106.8,39.2,143.9,38.4,30.9,54.5,80.1,81.5,31.4,89.3,77.7,87.2
1972,266.3,169.6,99.8,63.7,121.7,80.6,31.1,34.4,2.9,99.2,160.5,174.4
1973,104.5,65.3,19.8,53.8,125,17.7,111.9,99.9,97.2,79.4,80.2,138
1974,328.2,132,64.5,37.3,147.3,17.7,57.1,42.9,186.1,37.3,132.6,79.6
1975,176.1,43.7,69.6,54.8,51.8,13.2,50.9,37.1,130.6,101,109.6,32.6
1976,105.8,49.6,99.2,22.1,57.6,12.4,72.3,9.2,190.8,275.8,60.1,97.2
1977,147.8,247.2,142.1,64.1,17.9,66.2,31.5,0,88.1,196.4,75.3,210.6
1978,105.1,178.4,88.2,80.4,15.1,48.1,68.5,74.3,26.7,38.9,82.4,405.2
1979,86.5,74.1,135.2,82.8,123.5,21.7,11.5,105.9,30,157.1,99.5,178.9
1980,185.4,121.5,131.8,7.1,45.3,78.9,56.8,143.7,170.4,150.1,105.8,84.5
1981,34.4,129.1,182.6,66.7,190.9,72.4,33.7,6.7,146.7,91,56,294.6
1982,94.4,110.3,98.2,47.7,45.2,229.4,10.8,61.6,162.6,220.8,226.5,145.4
1983,119.7,76.2,67.8,128.9,219.3,34.8,17.4,38.8,146.2,92.3,30.2,194.1
1984,210.9,100.7,107.3,48.7,40.8,30.1,20,120,61,97.5,201.9,114.5
1985,138.9,127,126.8,99.8,92,71,47,220.2,50.1,94.6,162,124.8
