Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
46471.78,78165.16,51.9352866,-10.232517,11,Valentia ,Kerry,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1945,114.9,165.6,69.9,44,131.9,116.2,115.9,100.6,133.8,162.3,39.7,253.9
1946,201,73.5,71.1,56.1,85.4,108.8,98.6,152.1,195.7,116.5,191,194.8
1947,232.7,117.4,166.7,118.7,118.2,94.1,107.4,24.3,109.2,91.1,164.6,162.2
1948,226.8,74.6,77,96.9,62.8,94.4,87.5,105.9,105.7,167.1,121.8,260.7
1949,87.7,93,40.9,76.3,92.8,73.5,60.2,126.7,82.1,253.1,210.5,118
1950,155.1,209.2,65.8,78.7,43.7,65,124.5,156.6,201.2,124.4,160.4,140.6
1951,175.5,145.5,84,72.7,78.7,52.2,53.8,169.5,195.8,176.1,157.1,235.4
1952,153.4,25.2,94.9,93.7,52.9,80.1,17.3,70.1,52.2,176.9,92.6,155.1
1953,60.7,87.9,47.4,86.1,94.7,58,190.8,101.4,142.6,140.9,148.1,120.9
1954,142.5,177.5,177.8,42.7,84.6,71.9,113,81.8,136.7,197.7,158.4,164.1
1955,144.8,156.2,35.6,86.1,124.7,95.4,8.7,31.1,110.6,71.5,124.9,132.5
1956,168.2,49.4,161.9,22.2,66.6,66.3,133.7,133.2,80,90.1,110.7,158
1957,180.5,141.1,197.1,69.2,71,47.7,142,84.1,165.7,144.9,65.6,130.7
1958,212.1,131.2,133.2,40.5,127,127.3,112.4,138.9,200.9,101.8,107.2,150.2
1959,119.9,46.9,169.2,112.8,58.9,67.6,50.1,62.5,60.9,209,195.8,319.2
1960,164.4,135.3,126.1,99.4,84.5,68.6,174.9,59.6,163,123,273.7,218
1961,261,124,19,154,39,60,93,47,207,172,97,104
1962,166,36,127,75,95,69,69,126,144,87,106,132
1963,26,122,260,108,75,55,120,115,68,159,212,77
1964,50,128,194,104,147,112,98,109,103,148,113,183
1965,180,2,107,89,103.5,134,64,99,157,65,154,223
1966,175,260,47,149,100.3,92,48,84,70,187,72,97
1967,132,141,71,35,139,25,86,147,134,206,128,103
1968,135,78,83,128,66,79,32,108,179,148,218,206
1969,233,49,32,66,62,88,79,98,58,75,149,146
1970,196,154,58,133,55,108,88,52,164,77,208,98
1971,179.5,64.2,61.1,54,61.5,76.4,45.1,81.6,44.1,152.1,112.2,57.8
1972,202.1,164,107.2,91.2,137.2,86.1,84.3,80.6,60,93.7,179.8,223.6
1973,143.1,134.7,62.6,38.6,93.6,68.5,59.2,115.4,144.9,61.2,163.5,144.6
1974,319.7,176.2,75.6,58.1,152.4,38.3,97.6,169.4,225,76,109.3,93.5
1975,209.6,80.4,74.4,102.9,23.7,18,80.9,34.7,161.9,212.5,140.5,60.7
1976,95.9,81.7,189.6,37.6,122.4,111.5,73.7,16.9,170.8,187.7,169.8,189
1977,173.1,198.8,199.9,79.1,32.9,60.7,53.4,55.5,76.2,319.7,139.7,152.8
1978,169.1,126.1,201.8,66.1,23.6,90.1,96.2,179.5,42.2,59.6,166.3,289.1
