Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
242312.33,457958.12,55.3665488,-7.3335006,22,"Malin Head,", Donegal,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1952,130.4,51,44.8,29.9,30.7,85.9,76.2,131.7,65.1,93.5,74.3,147.7
1953,35.9,42.4,28.3,57.3,46.2,58.9,121.9,79.1,81.5,76.3,133.8,81
1954,127.1,103.2,69.6,33.7,78,123.8,133.8,123.8,136.9,162.4,165.7,107.5
1955,77.4,64.5,21.6,49.3,70.1,90.9,14.6,27.5,113.8,74.8,34.2,109.5
1956,106.8,89.9,28.2,34,61.3,106.5,104.8,119.2,116,88.1,75.3,170.9
1957,143.6,88.6,90.2,34.7,36.5,59.9,130,92.2,165.4,95.2,47.4,125.2
1958,127.2,143.3,45.5,52.3,69,127.9,89.4,87.7,67,94.2,69.4,143.5
1959,70.4,21.2,72.4,84.2,25.3,50.2,93.1,34.8,36.4,132.8,131.8,133.3
1960,116.1,102.3,42.1,53.9,59.9,79.3,129.5,103.4,64.1,67.7,85.8,148
1961,100.9,113.3,61.4,123.7,47,50.5,72.7,131.2,92.2,101.8,92.1,97.2
1962,144,65.2,79.8,64.4,44.5,59.1,44.1,135.6,123.5,44.4,91.5,95.2
1963,35.2,34.4,89.2,59.9,101,54.2,71.8,58.8,95,146.7,191,41.6
1964,47.9,22.7,38,65.4,54.7,101.1,76.4,100.1,132.4,115.3,97.1,145.7
1965,106.9,16.3,87.1,73.6,46.7,105.3,65.2,108.8,98.8,116.7,93.8,116.1
1966,51.8,104.5,100.3,56.5,65.7,88.9,72,55.1,86.3,78.4,106.4,162.9
1967,81.4,79.2,103.5,44.5,65.8,50.7,69,110.9,143,223.6,143.2,126.3
1968,160.6,60.8,119.8,42.8,73.1,59.9,25,47.2,103.4,150.1,58.5,72.3
1969,139.3,107.8,43.5,50.2,52.1,66.9,43,66.3,76.9,91.1,197.3,118.9
1970,57.9,143.9,75.9,81.3,50.4,54.6,105.3,83.8,106.2,163.4,147.2,59.1
1971,80.9,98.8,61.3,76.6,94.5,88.6,46.1,131.9,23.3,90.7,143.7,52.8
1972,117.4,35,110.2,91.3,87.3,87.7,44.8,85.6,25.2,47.3,142.5,91.1
1973,98.8,81.9,40.8,64.3,75.5,48.1,83.6,101.1,120.4,65.8,123.2,135.4
1974,131.2,82,45.1,19.4,46.5,44.4,86.3,82.2,123.3,63.1,130.9,132.2
1975,155,17.6,59.9,63.4,15.3,28.6,85.1,58.3,124.1,91.5,105.7,59.1
1976,144.5,48.7,66,21.4,117.2,51.2,93.8,19.1,66.5,138,123.3,92.4
1977,68.4,152.3,63.8,88.3,30.7,43.7,78.9,57.4,120.7,102.2,157.9,64.3
1978,163.1,56.5,133.4,25.3,30.8,56.9,38.3,76.1,168.3,70.1,149.6,124.7
1979,143,27.9,95.4,52.6,81,68.5,68,85.7,82.1,113.1,201.6,120.5
1980,75.3,80.6,88.8,22,20.3,73.9,110.4,97.7,158.8,147.5,96.7,112.3
1981,150.1,73.5,102,36.8,115.5,79.5,84.5,71.5,129.3,153.4,113.2,73.5
1982,99.9,67.9,122.5,22.2,81.9,102.3,16.5,169.9,112.1,96,135.1,135.8
1983,148.8,41.5,106.2,49.7,52.9,45.9,28.7,35.2,68.9,189.4,24.7,130.4
1984,183.8,111.1,40.1,36.6,28.2,59.5,44.8,66.9,115.3,122.1,110.4,101.5
1985,106.3,33.5,103.8,74.8,56.4,53.7,152.3,183.2,216.5,30.4,75.4,89.7
1986,182.5,9.9,123.8,69.3,101.8,39.2,76.2,83.9,29.3,89.2,137.8,219.6
1987,37.4,73.7,101.3,39.2,45.3,84.5,112.1,82,93.1,166.3,67.9,53.5
1988,177.1,121.3,128,25.5,32.7,36.9,148.1,130.4,115.7,112.9,53.8,81.9
1989,78.2,136.9,134.7,115.1,27.1,50.7,56.4,137,44.4,189.2,62.8,48.1
1990,159.1,200.3,69.3,68.8,26.2,116.1,55.1,95.4,66.7,251.6,68.1,132
1991,110.9,47.7,63.4,115.5,18.4,103.9,90.7,70.4,74.6,101.8,158.9,112.8
1992,113.5,89.7,149.1,101.8,45.9,53.5,80.2,174.4,86.2,108,165.3,116.7
1993,162.3,33.5,63.3,124.5,52.9,69.3,99.2,55.8,80.7,38.4,61.6,227.3
1994,146.6,120.2,151.3,84.9,18.8,98.3,67.6,76.5,103.2,63.7,100.1,158.9
1995,185.6,157.2,145.8,42.9,73.6,33,57.9,13.3,108.4,190.9,86.9,80.8
