Easting ,Northings,Latitude,Longitude,elevation (metres),Station,County,,,,,,
311871.41,236856.22,53.370275,-6.3199808,39,Phoenix Park,Dublin,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1987,31.5,29.1,50.9,78.8,32.6,92.7,43.1,103.6,70,129,45.1,40.8
1988,104.3,42.5,98.7,26.7,78.4,40.1,80,53.1,39.6,67.6,23.3,43.8
1989,35.4,55.1,60.9,68.6,17.7,56.2,13.3,98.5,37.7,68.7,33.5,74.4
1990,80.3,126.5,13.9,32,39.4,55.5,35.8,52.3,17.3,150.4,67.3,94.7
1991,69,56.7,84.8,100.3,6.6,62.7,31.4,34.7,44.2,79.9,57.5,37.7
1992,37,35.3,72.8,72.5,30.7,40,96.8,71.2,79,34.9,69.9,48.9
1993,78.6,21.8,25.7,46.6,142.3,147.1,69.4,36.9,92,84.6,38.4,129.4
1994,83.7,110,75.8,74.1,61.9,16.8,53,65.4,86.9,47.2,55.9,98.5
1995,122.2,93.6,47.7,29.7,36.6,13.7,48.2,3.2,46.9,34.6,160.1,85.8
1996,93.2,58.5,75.7,59.1,94.7,14.5,41.7,83.9,22.3,95,119.4,52.5
1997,16.2,78.7,13.3,38,65.4,143.5,42.2,74.3,20,66.9,75.6,96.4
1998,93.4,14.9,78.9,133.5,34.1,118.3,46.3,36.3,107.8,76.5,77,66.8
1999,83.9,39.2,33.3,60.1,44.1,69.6,24.1,120.6,129.4,35.7,56.4,79.6
2000,45.6,54.7,22.5,77.3,66.9,33.9,51.5,91.5,86.9,80.6,148.1,119.4
2001,27.8,48.2,58.4,56.5,57.1,40.3,37.9,101.3,48.4,80,29.8,20.5
2002,53.2,121.2,33.4,80.7,100,79,76.8,58.9,16.7,170.4,178.8,89.2
2003,48.5,21.8,34.3,33.6,101.4,65.2,46.4,12.9,42.9,125.8,47.7,54.1
2004,89.8,18.5,33.1,34.7,40.8,57.5,46.3,112.4,53.9,147.5,37.7,50.8
2005,69.1,43.8,14.4,45.3,69.2,66.9,72.1,33.2,48.7,96.4,53.8,56.4
2006,16.7,37,70.2,33.6,105.8,21.5,14.6,58.4,81.8,96,82.1,100.6
2007,69.7,61.7,45.3,8,26.5,177.7,119.7,98,38.3,12.4,61.3,64.9
2008,99.6,16.2,100.7,38.2,38.2,72.4,102.7,189.7,110.9,113.5,43.8,47
2009,57,69.6,19.9,72.3,61.4,82.9,113.3,65.3,24,90,156.6,85.7
2010,44.9,36.2,58.1,23.1,57.6,43.7,81.5,35.2,97.5,24.9,104.4,62.3
